,,0,1,2,3,4,5,6,7,8,9
,,'plane', 'car', 'bird', 'cat', 'deer', 'dog', 'frog', 'horse', 'ship', 'truck'
Cifar-10,vgg19.pkl,94.5,97.1,91.9,86.1,95.1,89.8,96.7,95.8,96.7,96
,resnet18.pkl,95.9,98.4,94.3,89.7,96.8,91.7,97.5,96.6,96.3,96.1
,googlenet.pkl,96,97.5,95.2,89.4,96.5,92.3,96.6,96.1,97.2,96.2
,densnet121.pkl,96,97.6,93.8,90.1,96.9,92.4,97.5,97.2,97.5,95.7
,resnext29.pkl,96.8,97.6,94.4,89.6,97,92.1,97.8,96.9,97,97.4
,mobilenetv2.pkl,90.3,97.6,88.1,81.7,91.3,88.6,94.7,92.8,94.6,93.7
,shufflenetv2.pkl,92.6,96.3,91.6,80.9,93.3,85.4,94.9,93.4,95.5,94.9
,senet18.pkl,96.5,98.2,93,87.1,96.6,92.8,97.8,97,96.3,95.9
,,,,,,,,,,,
Rafic-10 v3.5,vgg19.pkl,92.94976,93.31703,86.76471,94.0625,93.78981,88.67925,91.10405,86.75105,94.23836,91.50043
,resnet18.pkl,94.16532,94.94703,89.95098,96.875,95.85987,90.40197,93.80461,87.08861,95.81689,90.02602
,googlenet.pkl,89.95138,95.43602,94.52614,96.71875,96.01911,91.05824,93.88403,88.01688,97.86898,91.76062
,densnet121.pkl,93.27391,95.76202,92.64706,96.32812,95.70064,93.02707,94.3606,90.21097,97.6322,90.02602
,resnext29.pkl,94.16532,95.11002,94.52614,97.26562,96.09873,89.58162,93.64575,89.02954,97.23757,91.24024
,mobilenetv2.pkl,89.38412,95.59902,85.78431,91.5625,91.16242,83.1009,85.38523,77.80591,91.55485,80.2255
,shufflenetv2.pkl,88.24959,92.17604,85.37582,91.875,93.86943,80.39377,89.51549,85.7384,94.00158,86.20989
,senet18.pkl,94.24635,95.84352,92.23856,95.46875,94.42675,91.46842,94.75774,86.58228,94.55406,90.28621
,,'plane', 'car', 'bird', 'cat', 'deer', 'dog', 'frog', 'horse', 'ship', 'truck'
ratio,vgg19.pkl,0.983595344,0.961040474,0.944120892,1.092479675,0.986223028,0.987519488,0.942130817,0.905543319,0.974543537,0.953129479
,resnet18.pkl,0.981911575,0.964908841,0.953881018,1.079988852,0.990287913,0.98584482,0.962098564,0.901538406,0.994983281,0.936795213
,googlenet.pkl,0.936993542,0.978830974,0.992921639,1.081865213,0.995016684,0.986546479,0.971884369,0.91588845,1.00688251,0.953852599
,densnet121.pkl,0.971603229,0.981168238,0.987708529,1.069124528,0.987622704,1.006786472,0.967801026,0.928096399,1.001355897,0.940710763
,resnext29.pkl,0.972782231,0.97448791,1.001336229,1.085553795,0.990708557,0.972656026,0.957523006,0.918777503,1.002449175,0.936758111
,mobilenetv2.pkl,0.989857364,0.979498156,0.97371521,1.120716034,0.9984931,0.937933409,0.901639176,0.838425754,0.967810254,0.856195304
,shufflenetv2.pkl,0.95301933,0.957175909,0.932050437,1.13566131,1.006103215,0.94137904,0.943261222,0.917970021,0.984309738,0.908428767
,senet18.pkl,0.976646114,0.976003259,0.991812473,1.09608209,0.977502588,0.985651078,0.968893047,0.892600825,0.981869782,0.941462044
