,,0,1,2,3,4,5,6,7,8,9
,,'plane', 'car', 'bird', 'cat', 'deer', 'dog', 'frog', 'horse', 'ship', 'truck'
Cifar-10,vgg19.pkl,94.5,97.1,91.9,86.1,95.1,89.8,96.7,95.8,96.7,96
,resnet18.pkl,95.9,98.4,94.3,89.7,96.8,91.7,97.5,96.6,96.3,96.1
,googlenet.pkl,96,97.5,95.2,89.4,96.5,92.3,96.6,96.1,97.2,96.2
,densnet121.pkl,96,97.6,93.8,90.1,96.9,92.4,97.5,97.2,97.5,95.7
,resnext29.pkl,96.8,97.6,94.4,89.6,97,92.1,97.8,96.9,97,97.4
,mobilenetv2.pkl,90.3,97.6,88.1,81.7,91.3,88.6,94.7,92.8,94.6,93.7
,shufflenetv2.pkl,92.6,96.3,91.6,80.9,93.3,85.4,94.9,93.4,95.5,94.9
,senet18.pkl,96.5,98.2,93,87.1,96.6,92.8,97.8,97,96.3,95.9
,,,,,,,,,,,
Rafic-10 v3.5,vgg19.pkl,92.94976,93.31703,86.76471,94.0625,93.78981,88.67925,91.10405,86.75105,94.23836,91.50043
,resnet18.pkl,94.16532,94.94703,89.95098,96.875,95.85987,90.40197,93.80461,87.08861,95.81689,90.02602
,googlenet.pkl,89.95138,95.43602,94.52614,96.71875,96.01911,91.05824,93.88403,88.01688,97.86898,91.76062
,densnet121.pkl,93.27391,95.76202,92.64706,96.32812,95.70064,93.02707,94.3606,90.21097,97.6322,90.02602
,resnext29.pkl,94.16532,95.11002,94.52614,97.26562,96.09873,89.58162,93.64575,89.02954,97.23757,91.24024
,mobilenetv2.pkl,89.38412,95.59902,85.78431,91.5625,91.16242,83.1009,85.38523,77.80591,91.55485,80.2255
,shufflenetv2.pkl,88.24959,92.17604,85.37582,91.875,93.86943,80.39377,89.51549,85.7384,94.00158,86.20989
,senet18.pkl,94.24635,95.84352,92.23856,95.46875,94.42675,91.46842,94.75774,86.58228,94.55406,90.28621
,,'plane', 'car', 'bird', 'cat', 'deer', 'dog', 'frog', 'horse', 'ship', 'truck'
ratio,vgg19.pkl,0.983595344,0.961040474,0.944120892,1.092479675,0.986223028,0.987519488,0.942130817,0.905543319,0.974543537,0.953129479
,resnet18.pkl,0.981911575,0.964908841,0.953881018,1.079988852,0.990287913,0.98584482,0.962098564,0.901538406,0.994983281,0.936795213
,googlenet.pkl,0.936993542,0.978830974,0.992921639,1.081865213,0.995016684,0.986546479,0.971884369,0.91588845,1.00688251,0.953852599
,densnet121.pkl,0.971603229,0.981168238,0.987708529,1.069124528,0.987622704,1.006786472,0.967801026,0.928096399,1.001355897,0.940710763
,resnext29.pkl,0.972782231,0.97448791,1.001336229,1.085553795,0.990708557,0.972656026,0.957523006,0.918777503,1.002449175,0.936758111
,mobilenetv2.pkl,0.989857364,0.979498156,0.97371521,1.120716034,0.9984931,0.937933409,0.901639176,0.838425754,0.967810254,0.856195304
,shufflenetv2.pkl,0.95301933,0.957175909,0.932050437,1.13566131,1.006103215,0.94137904,0.943261222,0.917970021,0.984309738,0.908428767
,senet18.pkl,0.976646114,0.976003259,0.991812473,1.09608209,0.977502588,0.985651078,0.968893047,0.892600825,0.981869782,0.941462044
,,,,,,,,,,,
,,0.94513274,0.97064057,0.91862568,0.8605948,0.9509721,0.89813995,0.96697248,0.95842217,0.96697714,0.95978836
,,0.95929204,0.98398577,0.94303797,0.92565056,0.96787828,0.91674048,0.97522936,0.96588486,0.96274344,0.96084656
,,0.96017699,0.97508897,0.95207957,0.92193309,0.96534235,0.92294066,0.96605505,0.96055437,0.97967824,0.96190476
,,0.96017699,0.97686833,0.93851718,0.91263941,0.96872358,0.92736935,0.97522936,0.97228145,0.97629128,0.95661376
,,0.96814159,0.97686833,0.94394213,0.93494424,0.9704142,0.92116918,0.97798165,0.96908316,0.97205758,0.97354497
,,0.90265487,0.97597865,0.88065099,0.81784387,0.91293322,0.88573959,0.94678899,0.92750533,0.94580864,0.93650794
,,0.92566372,0.96263345,0.9159132,0.80855019,0.93913779,0.85385297,0.94862385,0.93390192,0.95512278,0.94920635
,,0.96460177,0.98220641,0.93490054,0.89219331,0.96534235,0.92825509,0.97798165,0.97014925,0.96274344,0.95873016
,,,,,,,,,,,
,,0.010001404656085,0.009996298352214,0.00999592687704,0.009995293844367,0.009999706624606,0.010001558463252,0.00999971540848,0.010004406784969,0.009999763598759,0.009997795416667
,,0.010003045255475,0.009999855386179,0.010000402651114,0.010319404236343,0.009998742561983,0.009997169901854,0.010002352410257,0.009998808074534,0.009997335825545,0.009998403329865
,,0.010001843645833,0.010000912512821,0.010000835819328,0.010312450671141,0.010003547668394,0.009999357096425,0.010000569875776,0.009995362851197,0.010078994238683,0.00999900997921
,,0.010001843645833,0.010008896823771,0.010005513646056,0.010129183240844,0.009997147368421,0.01003646482684,0.010002352410257,0.010002895576132,0.010013243897436,0.009995964054336
,,0.010001462706612,0.010008896823771,0.009999386970339,0.010434645535714,0.010004270103093,0.010001836916395,0.009999812372188,0.010000858204334,0.010021212164949,0.009995328234086
,,0.009996177962348,0.00999978125,0.009996038479001,0.010010328886169,0.00999926856517,0.009997060835214,0.009997771805702,0.00999466950431,0.009997977167019,0.009994748559232
,,0.009996368466523,0.009996193665628,0.009999052401747,0.009994439925834,0.010065785530547,0.009998278337237,0.009996036354057,0.009998949892934,0.01000128565445,0.010002174394099
,,0.009995873264249,0.010002101934827,0.010052693978495,0.010243321584386,0.009993192028986,0.010002748814655,0.009999812372188,0.010001538659794,0.009997335825545,0.009997186235662
